Feature,Coefficient,Absolute_Importance
int_rate,0.5193718087914339,0.5193718087914339
loan_to_income,0.309209721007013,0.309209721007013
loan_amnt,-0.2415934441858275,0.2415934441858275
inq_last_6mths,0.22462891153380252,0.22462891153380252
dti_int_rate_interaction,-0.22073255349381027,0.22073255349381027
delinq_bucket_Old (2–5y),-0.22037060358928345,0.22037060358928345
term,0.20902088723798748,0.20902088723798748
dti,0.20760097079161147,0.20760097079161147
delinq_2yrs,-0.1939718085332179,0.1939718085332179
revol_bal,0.15670080022762617,0.15670080022762617
mths_since_last_delinq,-0.14080984062385485,0.14080984062385485
purpose_small_business,0.1299020290070966,0.1299020290070966
delinq_bucket_Never Delinquent,-0.12586640997842985,0.12586640997842985
chronic_delinquent,0.12522241423835126,0.12522241423835126
high_risk_purpose,0.11996099354933705,0.11996099354933705
delinq_bucket_Very Old (>5y),-0.0969126492006224,0.0969126492006224
purpose_debt_consolidation,0.08066517468396378,0.08066517468396378
pub_rec,0.07617198112559215,0.07617198112559215
annual_inc,-0.0751865984552679,0.0751865984552679
emp_length,0.07509584365747604,0.07509584365747604
purpose_home_improvement,0.06806268386641091,0.06806268386641091
credit_utilization_ratio,0.060028153381391613,0.060028153381391613
revol_util,0.06002815338139157,0.06002815338139157
utilization_per_account,-0.05503254872417475,0.05503254872417475
purpose_vacation,0.05205742602994112,0.05205742602994112
total_acc,-0.05064835105194719,0.05064835105194719
delinq_bucket_Recent (6–24m),-0.04447617795136206,0.04447617795136206
home_ownership_NONE,-0.04252315951392265,0.04252315951392265
low_employment,0.03776338580438996,0.03776338580438996
purpose_other,0.03501323371195885,0.03501323371195885
purpose_renewable_energy,0.034675368524646054,0.034675368524646054
purpose_moving,0.03337546332990078,0.03337546332990078
open_acc,0.032591600198072106,0.032591600198072106
purpose_medical,0.03135588247795514,0.03135588247795514
home_ownership_OTHER,0.023662319135708265,0.023662319135708265
purpose_educational,0.0198091159714125,0.0198091159714125
verification_status_Source Verified,-0.019581500530021653,0.019581500530021653
purpose_house,-0.018631513603101616,0.018631513603101616
avg_credit_per_account,-0.01786768537791206,0.01786768537791206
purpose_major_purchase,0.017014002882462145,0.017014002882462145
purpose_credit_card,-0.01690174047714092,0.01690174047714092
recent_delinquency,-0.016745627394989426,0.016745627394989426
home_ownership_RENT,0.01581287830312677,0.01581287830312677
verification_status_Verified,-0.012575400114491087,0.012575400114491087
purpose_wedding,0.005133362514154784,0.005133362514154784
home_ownership_OWN,-0.002682569357601493,0.002682569357601493
